zeta,estimate,ci_lo_pct,ci_hi_pct,ci_lo_bca,ci_hi_bca,w_max,n_eff
0.1,-0.5408749,-0.9478719,-0.266378,-0.9870685,-0.2837367,0.1999072,8.5499
0.2,-0.5684279,-0.9755577,-0.2869745,-1.387228,-0.3325293,0.1678307,9.521
0.3,-0.5828933,-0.9893092,-0.2967133,-1.407677,-0.3539019,0.1522407,10.023
0.4,-0.5922682,-0.9969515,-0.2941437,-1.411051,-0.3734117,0.1426215,10.341
0.5,-0.5989526,-0.9966026,-0.2906026,-1.413005,-0.3880876,0.1359819,10.562
0.6,-0.6039976,-1.000651,-0.2856754,-1.418283,-0.3952512,0.1310805,10.725
0.7,-0.6079558,-1.003805,-0.2819326,-1.424366,-0.4011163,0.1272946,10.85
0.8,-0.6111509,-1.006347,-0.2786878,-1.426258,-0.4074425,0.1242727,10.948
0.9,-0.6137875,-1.008449,-0.2773132,-1.426838,-0.4110711,0.1217994,11.028
