scenario,method,bias,rmse,n_ok
ideal,IV_FE,-0.004059093,0.07382729,250
ideal,DL_RE,-0.00250366,0.07124447,250
ideal,PM_RE,-0.002534876,0.07123951,250
ideal,HK_REML,-0.002534876,0.07123951,250
ideal,HuberIV,-0.001768697,0.07237706,250
ideal,tRE_df4,-0.002138008,0.07306212,250
ideal,GRMA,-0.003128254,0.08296377,250
ideal,GRMA_noguard,-0.002824376,0.07251012,250
outlier,IV_FE,0.4086156,0.4375553,250
outlier,DL_RE,0.3987503,0.4055345,250
outlier,PM_RE,0.3993226,0.4060982,250
outlier,HK_REML,0.3993226,0.4060982,250
outlier,HuberIV,0.2250037,0.2367594,250
outlier,tRE_df4,0.1698539,0.1855437,250
outlier,GRMA,0.01855486,0.08976383,250
outlier,GRMA_noguard,0.2702151,0.2845979,250
high_prec,IV_FE,1.491923,1.491927,250
high_prec,DL_RE,0.1019916,0.1238779,250
high_prec,PM_RE,0.114908,0.1364001,250
high_prec,HK_REML,0.114908,0.1364001,250
high_prec,HuberIV,0.05037712,0.08970255,250
high_prec,tRE_df4,0.03976643,0.08621759,250
high_prec,GRMA,0.008790517,0.09214695,250
high_prec,GRMA_noguard,0.1248527,0.1446502,250
pub_bias,IV_FE,0.03988501,0.08243763,250
pub_bias,DL_RE,0.04390535,0.0838558,250
pub_bias,PM_RE,0.04388837,0.08392921,250
pub_bias,HK_REML,0.04388837,0.08392921,250
pub_bias,HuberIV,0.04407009,0.08299731,250
pub_bias,tRE_df4,0.0428878,0.08209685,250
pub_bias,GRMA,0.03921614,0.08693758,250
pub_bias,GRMA_noguard,0.04243063,0.08165178,250
