dataset,method,estimate,se,ci_lo,ci_hi,ci_lo_bca,ci_hi_bca
BCG (log RR),IV_FE,-0.3990171,0.03706267,-0.4716586,-0.3263756,nan,nan
BCG (log RR),DL_RE,-0.5646685,0.1445187,-0.8479199,-0.2814171,nan,nan
BCG (log RR),PM_RE,-0.5563587,0.2094405,-0.9668546,-0.1458628,nan,nan
BCG (log RR),HK_REML,-0.5563587,0.2094405,-1.01269,-0.100027,nan,nan
BCG (log RR),HuberIV,-0.6127456,0.1610459,-0.9283897,-0.2971014,nan,nan
BCG (log RR),tRE_df4,-0.6045066,0.1412305,-0.8813133,-0.3276999,nan,nan
BCG (log RR),GRMA,-0.5989526,0.1890339,-0.9966026,-0.2906026,-1.413005,-0.3880876
BCG (log RR),GRMA_noguard,-0.5295539,0.1743949,-0.8968085,-0.2038816,-0.8931602,-0.1989356
Morris (SMD change diff),IV_FE,1.005519,0.1124159,0.7851883,1.225851,nan,nan
Morris (SMD change diff),DL_RE,1.005519,0.1124159,0.7851883,1.225851,nan,nan
Morris (SMD change diff),PM_RE,1.005519,0.1124159,0.7851883,1.225851,nan,nan
Morris (SMD change diff),HK_REML,1.005519,0.1079325,0.7502997,1.260739,nan,nan
Morris (SMD change diff),HuberIV,0.9859945,0.09529693,0.7992159,1.172773,nan,nan
Morris (SMD change diff),tRE_df4,0.9827451,0.08464576,0.8168424,1.148648,nan,nan
Morris (SMD change diff),GRMA,0.9579551,0.1521594,0.62,1.213231,0.62,1.213241
Morris (SMD change diff),GRMA_noguard,0.9800057,0.1157697,0.7567402,1.202916,0.7630465,1.208111
