"scenario","method","bias","rmse","convergence_rate","type","name","k","tau2"
"B1","GRMA",0.00798109221948809,0.194566144868453,1,"baseline","Null effect, small k",5,0.05
"B1","GRMA_noguard",0.00607955918152819,0.166076605797027,1,"baseline","Null effect, small k",5,0.05
"B1","HKSJ",0.00538762690223262,0.159108488083504,1,"baseline","Null effect, small k",5,0.05
"B1","RBM",0.00749569509116288,0.237145302084291,1,"baseline","Null effect, small k",5,0.05
"B1","REML",0.00538762690223262,0.159108488083504,1,"baseline","Null effect, small k",5,0.05
"B1","WRD",0.00599719521555433,0.179989905269682,1,"baseline","Null effect, small k",5,0.05
"B2","GRMA",0.00574301367667334,0.134421016174817,1,"baseline","Standard, medium k",10,0.05
"B2","GRMA_noguard",0.00630859404836925,0.119615331834349,1,"baseline","Standard, medium k",10,0.05
"B2","HKSJ",0.00372437830491697,0.115557710501237,1,"baseline","Standard, medium k",10,0.05
"B2","RBM",0.013919071009586,0.19998768616944,1,"baseline","Standard, medium k",10,0.05
"B2","REML",0.00372437830491697,0.115557710501237,1,"baseline","Standard, medium k",10,0.05
"B2","WRD",0.00845820164397399,0.130656280224232,1,"baseline","Standard, medium k",10,0.05
"B3","GRMA",0.00377116757496509,0.0931703494748394,1,"baseline","Standard, large k",20,0.05
"B3","GRMA_noguard",0.00185681891347677,0.0852934368998317,1,"baseline","Standard, large k",20,0.05
"B3","HKSJ",0.000731458738801774,0.0814382927456543,1,"baseline","Standard, large k",20,0.05
"B3","RBM",0.00554658499780961,0.148975381185222,1,"baseline","Standard, large k",20,0.05
"B3","REML",0.000731458738801774,0.0814382927456543,1,"baseline","Standard, large k",20,0.05
"B3","WRD",0.00235085486330586,0.0935736300374573,1,"baseline","Standard, large k",20,0.05
"B4","GRMA",0.000524141876615033,0.0589387054157699,1,"baseline","Large k",50,0.05
"B4","GRMA_noguard",0.000809970177924205,0.0528126072784328,1,"baseline","Large k",50,0.05
"B4","HKSJ",0.000288880219343148,0.0499368888141333,1,"baseline","Large k",50,0.05
"B4","RBM",0.0022988616687241,0.104776567963509,1,"baseline","Large k",50,0.05
"B4","REML",0.000288880219343148,0.0499368888141333,1,"baseline","Large k",50,0.05
"B4","WRD",0.00132340432906326,0.0577772432215232,1,"baseline","Large k",50,0.05
"B5","GRMA",0.00127684839737845,0.0410803738709221,1,"baseline","Very large k",100,0.05
"B5","GRMA_noguard",0.00106768042385491,0.0374355197818069,1,"baseline","Very large k",100,0.05
"B5","HKSJ",0.000809568070189616,0.0346763092213799,1,"baseline","Very large k",100,0.05
"B5","RBM",0.00212441604593296,0.0784551514438928,1,"baseline","Very large k",100,0.05
"B5","REML",0.000809568070189616,0.0346763092213799,1,"baseline","Very large k",100,0.05
"B5","WRD",0.00121439376017124,0.0415085726886069,1,"baseline","Very large k",100,0.05
"D1","GRMA",-0.00250612578675362,0.147035681025347,1,"distribution","Heavy-tailed effects",10,0.05
"D1","GRMA_noguard",-0.00261096820008189,0.142204938063533,1,"distribution","Heavy-tailed effects",10,0.05
"D1","HKSJ",-0.0028452135309273,0.147047939249346,1,"distribution","Heavy-tailed effects",10,0.05
"D1","RBM",-0.00197151968344743,0.204369126707624,1,"distribution","Heavy-tailed effects",10,0.05
"D1","REML",-0.0028452135309273,0.147047939249346,1,"distribution","Heavy-tailed effects",10,0.05
"D1","WRD",-0.000442410027060626,0.146718710482216,1,"distribution","Heavy-tailed effects",10,0.05
"D2","GRMA",-0.0102551601548979,0.134573551130222,1,"distribution","Skewed effects",10,0.05
"D2","GRMA_noguard",-0.00238847437330687,0.119532229374124,1,"distribution","Skewed effects",10,0.05
"D2","HKSJ",-0.00112116982849546,0.113574203781945,1,"distribution","Skewed effects",10,0.05
"D2","RBM",-0.00899506007770535,0.197933645458277,1,"distribution","Skewed effects",10,0.05
"D2","REML",-0.00112116982849546,0.113574203781945,1,"distribution","Skewed effects",10,0.05
"D2","WRD",-0.00241394679582918,0.131814329036856,1,"distribution","Skewed effects",10,0.05
"H1","GRMA",0.000927823182743688,0.0918286987902712,1,"heterogeneity","No heterogeneity",10,0
"H1","GRMA_noguard",0.000168338982755896,0.0902603559488202,1,"heterogeneity","No heterogeneity",10,0
"H1","HKSJ",0.00229901289278691,0.0765056566666193,1,"heterogeneity","No heterogeneity",10,0
"H1","RBM",-0.00196549888699554,0.162996281046681,1,"heterogeneity","No heterogeneity",10,0
"H1","REML",0.00229901289278691,0.0765056566666193,1,"heterogeneity","No heterogeneity",10,0
"H1","WRD",-0.00105866455171177,0.109143214332167,1,"heterogeneity","No heterogeneity",10,0
"H2","GRMA",0.00284441167438159,0.155515503605054,1,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","GRMA_noguard",0.000737283419898977,0.137659184453154,1,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","HKSJ",0.000765564833734533,0.134497157988115,1,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","RBM",0.00443781669359602,0.217446547740315,1,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","REML",0.000765564833734533,0.134497157988115,1,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","WRD",0.000253903859642186,0.145802634508245,1,"heterogeneity","Moderate heterogeneity",10,0.1
"H3","GRMA",-0.0042332575585373,0.19842121902045,1,"heterogeneity","High heterogeneity",10,0.2
"H3","GRMA_noguard",-0.00370313565753631,0.171740887733424,1,"heterogeneity","High heterogeneity",10,0.2
"H3","HKSJ",-0.00468418627504964,0.169196320445309,1,"heterogeneity","High heterogeneity",10,0.2
"H3","RBM",-0.00682389801963839,0.259441825382614,1,"heterogeneity","High heterogeneity",10,0.2
"H3","REML",-0.00468418627504964,0.169196320445309,1,"heterogeneity","High heterogeneity",10,0.2
"H3","WRD",-0.00375525839338771,0.175833043413528,1,"heterogeneity","High heterogeneity",10,0.2
"H4","GRMA",0.00725164072690815,0.285180710231142,1,"heterogeneity","Very high heterogeneity",10,0.5
"H4","GRMA_noguard",0.00271298459845822,0.250794169878109,1,"heterogeneity","Very high heterogeneity",10,0.5
