"dataset","k","est_full","max_abs_delta_est","idx_max_shift","y_idx","v_idx","maxw_full","max_abs_delta_maxw","idx_maxw_shift"
"BCG (log RR)",13,-0.598952556028332,0.0601863060898331,8,0.0120206014527326,0.00396145005951926,0.13598187171032,0.0298593337614244,8
"Morris (SMD change diff)",8,0.957955145630988,0.0669270493488642,6,1.45,0.07,0.191195052260139,0.0538563973744145,5
"CD002042: 30-day mortality (log OR)",51,0.00722557272472124,0.00914706408743332,23,-0.282652724046779,0.0290713609858659,0.0401671566567538,0.00144168917684555,7
"CD002042: CHF (log OR)",20,-0.025081434854805,0.0418515469749772,19,0.90581943200686,0.72094298245614,0.0978727890855388,0.0245025431532353,17
"CD002042: Transfusion exposure (log OR)",57,-1.99005404493467,0.142527469196889,27,-0.942057877093595,0.0260901260424262,0.0319536166794272,0.00158972358597413,8
