"dataset","k","anchor_y","anchor_p","zeta","w_max","n_eff","valley_flag","valley_p"
"BCG (log RR)",13,-0.551986956723663,252.432817522722,0.5,0.13598187171032,10.5618584094101,FALSE,1
"Morris (SMD change diff)",8,0.92,14.2857142857143,0.5,0.191195052260139,7.42304986760445,FALSE,1
"CD002042: 30-day mortality (log OR)",51,0,72.0166195574938,0.5,0.0401671566567538,35.8360825452517,FALSE,1
"CD002042: CHF (log OR)",20,0,49.9291813845226,0.5,0.0978727890855388,15.2502910726679,FALSE,1
"CD002042: Transfusion exposure (log OR)",57,-1.91238745701667,268.822518065597,0.5,0.0319536166794272,48.2304808098395,FALSE,1
