"scenario","method","coverage","ci_width","mean_se","type_i_error","power","type","name","k","tau2"
"H5","GRMA_noguard",0.907,1.25426764078294,0.325150554843704,NA,0.185,"heterogeneity","Extreme heterogeneity",10,1
"H5","HKSJ",0.947,1.46245667574968,0.323243826689008,NA,0.1195,"heterogeneity","Extreme heterogeneity",10,1
"H5","RBM",0.974,2.31167206924229,0.501228951403771,NA,0.054,"heterogeneity","Extreme heterogeneity",10,1
"H5","REML",0.917,1.26770830707844,0.323400918863296,NA,0.179,"heterogeneity","Extreme heterogeneity",10,1
"H5","WRD",0.9495,1.50542410763681,0.326414008685965,NA,0.112,"heterogeneity","Extreme heterogeneity",10,1
"O1","GRMA",0.9405,0.612352968889489,0.159041893943945,NA,0.601,"outlier","Single mild outlier",10,0.05
"O1","GRMA_noguard",0.9075,0.501978820670895,0.129359410569923,NA,0.808,"outlier","Single mild outlier",10,0.05
"O1","HKSJ",0.937875751503006,0.571250266162679,0.126262285299414,NA,0.736472945891784,"outlier","Single mild outlier",10,0.05
"O1","RBM",0.983466933867735,1.0115881482157,0.219337886860757,NA,0.257014028056112,"outlier","Single mild outlier",10,0.05
"O1","REML",0.914328657314629,0.497427769212362,0.126897170850079,NA,0.834168336673347,"outlier","Single mild outlier",10,0.05
"O1","WRD",0.967935871743487,0.652775909194462,0.141538321468939,NA,0.606212424849699,"outlier","Single mild outlier",10,0.05
"O2","GRMA",0.9445,0.636304487645768,0.165392667776906,NA,0.54,"outlier","Single extreme outlier",10,0.05
"O2","GRMA_noguard",0.9015,0.570249422901356,0.146778020335779,NA,0.7865,"outlier","Single extreme outlier",10,0.05
"O2","HKSJ",0.950950950950951,0.695795408824966,0.153790245051828,NA,0.662662662662663,"outlier","Single extreme outlier",10,0.05
"O2","RBM",0.986486486486487,1.16156608536782,0.251856895578588,NA,0.18018018018018,"outlier","Single extreme outlier",10,0.05
"O2","REML",0.921421421421421,0.601066600126357,0.153336133946209,NA,0.787287287287287,"outlier","Single extreme outlier",10,0.05
"O2","WRD",0.975975975975976,0.758957154439962,0.164561100054742,NA,0.515015015015015,"outlier","Single extreme outlier",10,0.05
"O3","GRMA",0.9725,0.681005229720984,0.176528114284499,NA,0.421,"outlier","Two opposing outliers",10,0.05
"O3","GRMA_noguard",0.966,0.567574367221325,0.146174202911716,NA,0.562,"outlier","Two opposing outliers",10,0.05
"O3","HKSJ",0.976452905811623,0.665306349314965,0.147051310195443,NA,0.427855711422846,"outlier","Two opposing outliers",10,0.05
"O3","RBM",0.992985971943888,1.12971636356491,0.244951070624358,NA,0.128256513026052,"outlier","Two opposing outliers",10,0.05
"O3","REML",0.964929859719439,0.577691579569757,0.147373008924275,NA,0.547094188376753,"outlier","Two opposing outliers",10,0.05
"O3","WRD",0.991983967935872,0.733629824485617,0.159069494561133,NA,0.343687374749499,"outlier","Two opposing outliers",10,0.05
"O4","GRMA",0.8935,0.55548046220655,0.145351739088594,NA,0.78,"outlier","Multiple outliers",15,0.05
"O4","GRMA_noguard",0.818,0.458979526469229,0.118466059501156,NA,0.9495,"outlier","Multiple outliers",15,0.05
"O4","HKSJ",0.86329494241362,0.497136390447821,0.115894133726289,NA,0.946920380570856,"outlier","Multiple outliers",15,0.05
"O4","RBM",0.952428642964447,0.842524168556635,0.194995462009737,NA,0.470205307961943,"outlier","Multiple outliers",15,0.05
"O4","REML",0.813720580871307,0.454614032026268,0.115975098423289,NA,0.968452679018528,"outlier","Multiple outliers",15,0.05
"O4","WRD",0.897346019028543,0.541345846545376,0.125290154744175,NA,0.894341512268403,"outlier","Multiple outliers",15,0.05
"O5","GRMA",0.9465,0.638442399084571,0.165578260720471,NA,0.56,"outlier","Clustered outliers",10,0.05
"O5","GRMA_noguard",0.91,0.539260092609759,0.138705983585521,NA,0.791,"outlier","Clustered outliers",10,0.05
"O5","HKSJ",0.952452452452452,0.630471093548528,0.139351744413871,NA,0.708708708708709,"outlier","Clustered outliers",10,0.05
"O5","RBM",0.98998998998999,1.0855597346259,0.235376797043295,NA,0.224224224224224,"outlier","Clustered outliers",10,0.05
"O5","REML",0.927427427427427,0.547581666045569,0.139691767390836,NA,0.806806806806807,"outlier","Clustered outliers",10,0.05
"O5","WRD",0.977477477477477,0.704851322099108,0.152829587627063,NA,0.572572572572573,"outlier","Clustered outliers",10,0.05
"PB1","GRMA",0.392,0.45203240032175,0.117285981080007,NA,0.956,"pub_bias","Mild pub bias (p<0.10)",20,0.05
"PB1","GRMA_noguard",0.4785,0.400919188121898,0.102675489748559,NA,0.9545,"pub_bias","Mild pub bias (p<0.10)",20,0.05
"PB1","HKSJ",0.643614336193841,0.46481499233693,0.102883256515971,NA,0.909136799596164,"pub_bias","Mild pub bias (p<0.10)",20,0.05
"PB1","RBM",0.831398283695103,0.85376880923669,0.185440817483804,NA,0.791519434628975,"pub_bias","Mild pub bias (p<0.10)",20,0.05
"PB1","REML",0.58354366481575,0.400840017428957,0.102256985483083,NA,0.946491670873296,"pub_bias","Mild pub bias (p<0.10)",20,0.05
"PB1","WRD",0.575466935890964,0.546543804353411,0.118710929886769,NA,0.933871781928319,"pub_bias","Mild pub bias (p<0.10)",20,0.05
"PB2","GRMA",0.38,0.445794210623467,0.115654206690427,NA,0.9605,"pub_bias","Moderate pub bias (p<0.05)",20,0.05
"PB2","GRMA_noguard",0.4615,0.396483603871622,0.101500938089006,NA,0.964,"pub_bias","Moderate pub bias (p<0.05)",20,0.05
"PB2","HKSJ",0.63054435483871,0.454493431919396,0.100479144658019,NA,0.913810483870968,"pub_bias","Moderate pub bias (p<0.05)",20,0.05
"PB2","RBM",0.811491935483871,0.84476654310302,0.183221643439859,NA,0.808971774193548,"pub_bias","Moderate pub bias (p<0.05)",20,0.05
"PB2","REML",0.560483870967742,0.393168459515778,0.100299919441643,NA,0.949092741935484,"pub_bias","Moderate pub bias (p<0.05)",20,0.05
"PB2","WRD",0.576612903225806,0.542378893234521,0.117635810183158,NA,0.936995967741935,"pub_bias","Moderate pub bias (p<0.05)",20,0.05
"PB3","GRMA",0.3815,0.455134998828672,0.118333010251105,NA,0.959,"pub_bias","Strong pub bias (p<0.01)",20,0.05
"PB3","GRMA_noguard",0.462,0.40384356450788,0.10325161736416,NA,0.96,"pub_bias","Strong pub bias (p<0.01)",20,0.05
"PB3","HKSJ",0.638190954773869,0.464561000426591,0.102680973733042,NA,0.906532663316583,"pub_bias","Strong pub bias (p<0.01)",20,0.05
"PB3","RBM",0.814070351758794,0.856984245558194,0.185815851861497,NA,0.815577889447236,"pub_bias","Strong pub bias (p<0.01)",20,0.05
"PB3","REML",0.576884422110553,0.401141210525161,0.102333821868491,NA,0.953266331658291,"pub_bias","Strong pub bias (p<0.01)",20,0.05
"PB3","WRD",0.568844221105528,0.550900343897063,0.119449123157858,NA,0.930653266331658,"pub_bias","Strong pub bias (p<0.01)",20,0.05
"PB4","GRMA",0.24283396430503,0.637220247768993,0.174422461339673,NA,0.889129259058951,"pub_bias","Classic step function",20,0.05
"PB4","GRMA_noguard",0.215792320173067,0.486948323956466,0.128297514524122,NA,0.928069226608978,"pub_bias","Classic step function",20,0.05
"PB4","HKSJ",0.535462912831619,0.742630130123236,0.125608177154515,NA,0.816459122902003,"pub_bias","Classic step function",20,0.05
"PB4","RBM",0.829994585814835,1.43307681921494,0.219013168392896,NA,0.578234975636167,"pub_bias","Classic step function",20,0.05
"PB4","REML",0.347049269085003,0.521460366779818,0.133028048191964,NA,0.905251759610179,"pub_bias","Classic step function",20,0.05
"PB4","WRD",0.60368164591229,0.986357015661909,0.148364573673601,NA,0.780725500812128,"pub_bias","Classic step function",20,0.05
"PB5","GRMA",0.9405,0.367919616930846,0.0956311091672759,NA,0.864,"pub_bias","Continuous weight function",20,0.05
"PB5","GRMA_noguard",0.938,0.314296746516071,0.0809770584207226,NA,0.944,"pub_bias","Continuous weight function",20,0.05
"PB5","HKSJ",0.946365914786967,0.317979590259588,0.0759617620231985,NA,0.949874686716792,"pub_bias","Continuous weight function",20,0.05
"PB5","RBM",0.955388471177945,0.587724850113618,0.139873074501658,NA,0.52531328320802,"pub_bias","Continuous weight function",20,0.05
"PB5","REML",0.92781954887218,0.299216221904548,0.076332071472927,NA,0.960902255639098,"pub_bias","Continuous weight function",20,0.05
"PB5","WRD",0.967919799498747,0.375607175785446,0.0893910313165054,NA,0.890726817042606,"pub_bias","Continuous weight function",20,0.05
"S1","GRMA",0.9495,0.596858391214388,0.155635952932799,NA,0.5155,"small_study","Very small studies",10,0.05
"S1","GRMA_noguard",0.913,0.475042158613149,0.122922318746678,NA,0.6655,"small_study","Very small studies",10,0.05
"S1","HKSJ",0.954,0.555476801787138,0.12277590852707,NA,0.564,"small_study","Very small studies",10,0.05
"S1","RBM",0.983,0.90255169809864,0.195696027669684,NA,0.235,"small_study","Very small studies",10,0.05
"S1","REML",0.941,0.496494401477807,0.126659062460865,NA,0.657,"small_study","Very small studies",10,0.05
"S1","WRD",0.9705,0.587912794910835,0.127474358336045,NA,0.528,"small_study","Very small studies",10,0.05
"S2","GRMA",0.9415,0.495609001120267,0.12953523506315,NA,0.622,"small_study","Small studies",10,0.05
"S2","GRMA_noguard",0.9045,0.394379883766973,0.102019701465868,NA,0.7785,"small_study","Small studies",10,0.05
"S2","HKSJ",0.948,0.462930502079653,0.102320587997305,NA,0.6975,"small_study","Small studies",10,0.05
"S2","RBM",0.978,0.741665756207119,0.160811887733552,NA,0.3395,"small_study","Small studies",10,0.05
"S2","REML",0.9255,0.409165537207417,0.104380881596515,NA,0.784,"small_study","Small studies",10,0.05
"S2","WRD",0.9635,0.484099398295108,0.104964989200301,NA,0.6755,"small_study","Small studies",10,0.05
"S3","GRMA",0.9405,0.512870582400795,0.133970868042887,NA,0.621,"small_study","Mixed study sizes",10,0.05
"S3","GRMA_noguard",0.9215,0.415435698553375,0.107155288819214,NA,0.7765,"small_study","Mixed study sizes",10,0.05
"S3","HKSJ",0.92685370741483,0.432706597060738,0.0956402596991749,NA,0.755511022044088,"small_study","Mixed study sizes",10,0.05
"S3","RBM",0.980460921843687,0.928964176746062,0.201422920836136,NA,0.238977955911824,"small_study","Mixed study sizes",10,0.05
"S3","REML",0.902304609218437,0.379793804810631,0.0968879550354998,NA,0.829659318637275,"small_study","Mixed study sizes",10,0.05
"S3","WRD",0.977454909819639,0.582869247777512,0.126380789799821,NA,0.543587174348697,"small_study","Mixed study sizes",10,0.05
