"scenario","method","coverage","ci_width","mean_se","type_i_error","power","type","name","k","tau2"
"B1","GRMA",0.9455,0.914789178426148,0.226080976336024,0.057,NA,"baseline","Null effect, small k",5,0.05
"B1","GRMA_noguard",0.8805,0.625024913829628,0.156828963972344,0.1055,NA,"baseline","Null effect, small k",5,0.05
"B1","HKSJ",0.9365,0.805304899378917,0.145024459131445,0.0635,NA,"baseline","Null effect, small k",5,0.05
"B1","RBM",0.9995,1.84395111413883,0.289706555469196,5e-04,NA,"baseline","Null effect, small k",5,0.05
"B1","REML",0.906,0.60678211557667,0.154794200394214,0.094,NA,"baseline","Null effect, small k",5,0.05
"B1","WRD",0.9955,1.14574083701516,0.180009452965934,0.0045,NA,"baseline","Null effect, small k",5,0.05
"B2","GRMA",0.9355,0.538322566469266,0.140509642785249,NA,0.5915,"baseline","Standard, medium k",10,0.05
"B2","GRMA_noguard",0.9035,0.433459071578237,0.112084734327018,NA,0.749,"baseline","Standard, medium k",10,0.05
"B2","HKSJ",0.932092555331992,0.471692968048204,0.104257338041168,NA,0.71830985915493,"baseline","Standard, medium k",10,0.05
"B2","RBM",0.97887323943662,0.909778313388299,0.197262940577457,NA,0.280181086519115,"baseline","Standard, medium k",10,0.05
"B2","REML",0.913983903420523,0.417082024701978,0.106400430822165,NA,0.787223340040241,"baseline","Standard, medium k",10,0.05
"B2","WRD",0.975352112676056,0.580712111257487,0.125913068062663,NA,0.573440643863179,"baseline","Standard, medium k",10,0.05
"B3","GRMA",0.9345,0.371083673795993,0.0961962212052821,NA,0.9955,"baseline","Standard, large k",20,0.05
"B3","GRMA_noguard",0.9225,0.315764536115327,0.0813629254113903,NA,1,"baseline","Standard, large k",20,0.05
"B3","HKSJ",0.928857715430862,0.319586106747685,0.0763455408155907,NA,1,"baseline","Standard, large k",20,0.05
"B3","RBM",0.954408817635271,0.592350786801474,0.140974004616924,NA,0.903306613226453,"baseline","Standard, large k",20,0.05
"B3","REML",0.919338677354709,0.300567263487647,0.0766767312712078,NA,1,"baseline","Standard, large k",20,0.05
"B3","WRD",0.955410821643287,0.376702193429779,0.0896516353806637,NA,1,"baseline","Standard, large k",20,0.05
"B4","GRMA",0.944,0.228355872956493,0.0589418194860849,NA,0.997,"baseline","Large k",50,0.05
"B4","GRMA_noguard",0.9315,0.202095188824836,0.0520126048335586,NA,0.9995,"baseline","Large k",50,0.05
"B4","HKSJ",0.9405,0.196535541563866,0.0488997719350446,NA,0.9995,"baseline","Large k",50,0.05
"B4","RBM",0.9125,0.35839291654779,0.0891243213589093,NA,0.8815,"baseline","Large k",50,0.05
"B4","REML",0.9365,0.191510526301701,0.0488556238309255,NA,0.9995,"baseline","Large k",50,0.05
"B4","WRD",0.947,0.228447392466443,0.05680976905432,NA,0.999,"baseline","Large k",50,0.05
"B5","GRMA",0.939,0.160524341233731,0.0414429966801195,NA,1,"baseline","Very large k",100,0.05
"B5","GRMA_noguard",0.942,0.143752986755419,0.0370050267092636,NA,1,"baseline","Very large k",100,0.05
"B5","HKSJ",0.9465,0.137495940327092,0.0346474059243273,NA,1,"baseline","Very large k",100,0.05
"B5","RBM",0.887,0.251541299910367,0.0633775321784426,NA,0.984,"baseline","Very large k",100,0.05
"B5","REML",0.945,0.136072664235218,0.0347130522061991,NA,1,"baseline","Very large k",100,0.05
"B5","WRD",0.946,0.159750573523889,0.0402502377050715,NA,1,"baseline","Very large k",100,0.05
"D1","GRMA",0.9335,0.623958514719604,0.162750477506072,NA,0.465,"distribution","Heavy-tailed effects",10,0.05
"D1","GRMA_noguard",0.9035,0.527698780400803,0.136320609308921,NA,0.5935,"distribution","Heavy-tailed effects",10,0.05
"D1","HKSJ",0.935338345864662,0.614262509031173,0.135769193920937,NA,0.517794486215539,"distribution","Heavy-tailed effects",10,0.05
"D1","RBM",0.984962406015038,1.07583631230576,0.233268513243692,NA,0.189974937343358,"distribution","Heavy-tailed effects",10,0.05
"D1","REML",0.907268170426065,0.536289824441702,0.136811142620958,NA,0.609022556390977,"distribution","Heavy-tailed effects",10,0.05
"D1","WRD",0.968922305764411,0.696999781777983,0.151127175172275,NA,0.41453634085213,"distribution","Heavy-tailed effects",10,0.05
"D2","GRMA",0.94,0.547032507093385,0.142586344400368,NA,0.535,"distribution","Skewed effects",10,0.05
"D2","GRMA_noguard",0.9125,0.441973296684507,0.114154329778682,NA,0.7195,"distribution","Skewed effects",10,0.05
"D2","HKSJ",0.933299899699097,0.484520696852635,0.107092624867253,NA,0.676028084252758,"distribution","Skewed effects",10,0.05
"D2","RBM",0.980942828485456,0.920163842912458,0.199514785959174,NA,0.228686058174524,"distribution","Skewed effects",10,0.05
"D2","REML",0.915245737211635,0.427434319895024,0.109041370980939,NA,0.767301905717151,"distribution","Skewed effects",10,0.05
"D2","WRD",0.969909729187563,0.588845785521454,0.127676654289546,NA,0.530591775325978,"distribution","Skewed effects",10,0.05
"H1","GRMA",0.9375,0.39974808434846,0.103418559250335,NA,0.809,"heterogeneity","No heterogeneity",10,0
"H1","GRMA_noguard",0.9025,0.333671333053215,0.0857893346405468,NA,0.8935,"heterogeneity","No heterogeneity",10,0
"H1","HKSJ",0.951231774761186,0.333172671227307,0.0736404783687056,NA,0.91955756661639,"heterogeneity","No heterogeneity",10,0
"H1","RBM",0.987430869783811,0.785654267724116,0.170349709206952,NA,0.338360985419809,"heterogeneity","No heterogeneity",10,0
"H1","REML",0.960281548516843,0.31451710367333,0.0802354293635498,NA,0.949220713926596,"heterogeneity","No heterogeneity",10,0
"H1","WRD",0.982403217697335,0.497685900411426,0.107910886371278,NA,0.690296631473102,"heterogeneity","No heterogeneity",10,0
"H2","GRMA",0.9475,0.646547947835285,0.169386336181761,NA,0.465,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","GRMA_noguard",0.923,0.516031947005612,0.133410914488649,NA,0.6215,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","HKSJ",0.940350877192982,0.579595467599087,0.128106808211802,NA,0.541353383458647,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","RBM",0.977443609022556,1.02790355406946,0.222875479357815,NA,0.205012531328321,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","REML",0.911779448621554,0.506090157603235,0.129107004413145,NA,0.645614035087719,"heterogeneity","Moderate heterogeneity",10,0.1
"H2","WRD",0.971428571428571,0.661460478618931,0.14342135569509,NA,0.439598997493734,"heterogeneity","Moderate heterogeneity",10,0.1
"H3","GRMA",0.941,0.812725039820953,0.212223511146853,NA,0.326,"heterogeneity","High heterogeneity",10,0.2
"H3","GRMA_noguard",0.916,0.645101579517973,0.166803181915662,NA,0.43,"heterogeneity","High heterogeneity",10,0.2
"H3","HKSJ",0.944917376064096,0.740449283532551,0.163660000222231,NA,0.354031046569855,"heterogeneity","High heterogeneity",10,0.2
"H3","RBM",0.983475212819229,1.23376518515134,0.26751148584608,NA,0.13720580871307,"heterogeneity","High heterogeneity",10,0.2
"H3","REML",0.910866299449174,0.643327158382436,0.164117086705908,NA,0.443665498247371,"heterogeneity","High heterogeneity",10,0.2
"H3","WRD",0.965448172258388,0.799689007234998,0.173392795578009,NA,0.302453680520781,"heterogeneity","High heterogeneity",10,0.2
"H4","GRMA",0.934,1.15141659154681,0.300872229747766,NA,0.2045,"heterogeneity","Very high heterogeneity",10,0.5
"H4","GRMA_noguard",0.9015,0.909775778755337,0.235480333307001,NA,0.2755,"heterogeneity","Very high heterogeneity",10,0.5
"H4","HKSJ",0.9435,1.06004583126117,0.234299775606646,NA,0.199,"heterogeneity","Very high heterogeneity",10,0.5
"H4","RBM",0.977,1.69857034830425,0.368292997044836,NA,0.09,"heterogeneity","Very high heterogeneity",10,0.5
"H4","REML",0.9115,0.9188183659595,0.234396747391029,NA,0.275,"heterogeneity","Very high heterogeneity",10,0.5
"H4","WRD",0.948,1.1022217641492,0.238989546315712,NA,0.1815,"heterogeneity","Very high heterogeneity",10,0.5
"H5","GRMA",0.934,1.57308065613967,0.412241724051135,NA,0.1395,"heterogeneity","Extreme heterogeneity",10,1
